step,policy,seed,failure_scenario,coverage,active_drones,mean_energy,hives,connected_hive_fraction,exploration_depth
164,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
165,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
166,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
167,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
168,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
169,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
170,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
171,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
172,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
173,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
174,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
175,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
176,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
177,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
178,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
179,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
180,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
181,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
182,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
183,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
184,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
185,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
186,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
187,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
188,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
189,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
190,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
191,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
